Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
	VerifyJasperNASettings		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
NO	VerifyJasperNAEMEASpruceSettings		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	VerifyJasperNAEMEASpruceSettings		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	ScheduleOFFONNA		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	ScheduleOFFONNA		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	ScheduleOFFONNAtimebase		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	ScheduleOFFONNAtimebase		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	ScheduleOFFVacationNA		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	ScheduleOFFVacationNA		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	ScheduleONOFFNAVacationNA		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	ScheduleONOFFNAVacationNA		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	ScheduleONOFFNAgeofencebase		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	ScheduleONOFFNAgeofencebase		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	EnableDisableIndoorTemperatureAlert		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
	EnableDisableIndoorTemperatureAlert		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
NO	ViewDashboardEMEA		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	ViewDashboardEMEA		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	ViewSolutionCardEMEA		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	ViewSolutionCardEMEA		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	SystemModeInfoscreenwithHeatOnlyEMEA		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	SystemModeInfoscreenwithHeatOnlyEMEA		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	JasperEMEA_CreateEMEAScheduleSinglestatwithDefaultvalue		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	JasperEMEA_CreateEMEAScheduleSinglestatwithDefaultvalue		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	JasperEMEA_CreateEMEAEverydayscheduleAddingperiod		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	JasperEMEA_CreateEMEAEverydayscheduleAddingperiod		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	JasperEMEA_CancelToRetainExisitngscheduling		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	JasperEMEA_CancelToRetainExisitngscheduling		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	JasperEMEA_ConfirmToCreateNewSchedule		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	JasperEMEA_ConfirmToCreateNewSchedule		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	JasperEMEA_TempretureBandwidthforEachPeriod		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	JasperEMEA_TempretureBandwidthforEachPeriod		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	JasperEMEA_DeletingDefaultPeriodDifferentOnWeekdays		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	JasperEMEA_DeletingDefaultPeriodDifferentOnWeekdays		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
NO	JasperEMEA_CanCreateMaximumOfSixPeriods		Android-EMULATOR-Android-6.0	Android GoogleAPI	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
	JasperEMEA_CanCreateMaximumOfSixPeriods		IOS-Simulator-IOS-10.*	iPhone	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_EMEA_PROD,SINGLE_LOCATION_SINGLE_DEVICE'"
